"","Orden","Posicion","Dorsal","Nombre","Pais","Licencia","Club","Categoria","Pos Cat","k5","k10","k15","k20","tiempo real","tiempo","Dif","Promedio"
"1","1","1","1","KANDIE, KIBIWOT","KEN",NA,NA,"M-SENIOR","1","00:13:43","00:27:16","00:41:02","00:54:39","00:57:38","00:57:40",NA,"2.44"
"2","2","2","2","KEJELCHA, YOMIF","ETH",NA,NA,"M-SENIOR","2","00:13:44","00:27:16","00:41:02","00:54:39","00:57:40","00:57:42","a..0:00:02","2.44"
"3","3","3","6","GEBRHIWET, HAGOS","ETH",NA,NA,"M-SENIOR","3","00:13:44","00:27:16","00:41:02","00:54:39","00:57:40","00:57:42","a..0:00:02","2.44"
"4","4","4","9","BAREGA, SELEMON","ETH",NA,NA,"M-SENIOR","4","00:13:48","00:27:16","00:41:02","00:54:44","00:57:49","00:57:50","a..0:00:11","2.44"
"5","5","5","7","SAWE, SABASTIAN","KEN",NA,NA,"M-SENIOR","5","00:13:46","00:27:27","00:41:16","00:55:19","00:58:27","00:58:29","a..0:00:49","2.46"
"6","6","6","8","CHEPKWONY, HILLARY","KEN",NA,NA,"M-SENIOR","6","00:13:48","00:27:42","00:41:37","00:55:45","00:58:53","00:58:53","a..0:01:14","2.47"
"7","7","7","4","KIMELI, MATHEW","KEN",NA,NA,"M-SENIOR","7","00:13:48","00:27:39","00:41:37","00:55:47","00:58:58","00:59:00","a..0:01:21","2.48"
"8","8","8","10","KIMELI, NICHOLAS","KEN",NA,NA,"M-SENIOR","8","00:13:48","00:27:39","00:41:37","00:55:55","00:59:05","00:59:07","a..0:01:27","2.48"
"9","9","9","14","KIPKOECH, HILLARY","KEN",NA,NA,"M-SENIOR","9","00:13:48","00:27:53","00:42:10","00:56:13","00:59:23","00:59:23","a..0:01:43","2.49"
"10","10","10","15","LANGAT, WELDON","KEN",NA,NA,"M-SENIOR","10","00:13:48","00:27:46","00:42:10","00:56:13","00:59:23","00:59:23","a..0:01:43","2.49"
"11","11","11","3","KIPROP, STEPHEN","KEN",NA,NA,"M-SENIOR","11","00:14:09","00:28:22","00:42:08","00:56:16","00:59:30","00:59:33","a..0:01:53","2.49"
"12","12","12","5","WORKU, TADESE","ETH",NA,NA,"M-UNDER23","1","00:13:46","00:27:42","00:41:58","00:56:20","00:59:33","00:59:33","a..0:01:54","2.49"
"13","13","13","17","MAYO, CARLOS","ESP",NA,"CA ADIDAS","M-SENIOR","12","00:13:58","00:28:14","00:42:20","00:56:32","00:59:40","00:59:40","a..0:02:00","2.5"
"14","14","14","24","BARATA, SAMUEL","PRT",NA,NA,"M-SENIOR","13","00:13:58","00:28:14","00:42:18","00:56:32","00:59:40","00:59:40","a..0:02:01","2.5"
"15","15","15","20","RIVA, PIETRO","ITA",NA,NA,"M-SENIOR","14","00:13:58","00:28:14","00:42:18","00:56:32","00:59:42","00:59:42","a..0:02:02","2.5"
"16","16","16","23","FELIX, BOUR","FRA",NA,"Asics team","M-SENIOR","15","00:14:30","00:28:52","00:43:21","00:57:35","01:00:39","01:00:39","a..0:03:00","2.52"
"17","17","17","13","KWEMOI, BRIAN","KEN",NA,NA,"M-SENIOR","16","00:13:51","00:28:14","00:42:38","00:57:26","01:00:39","01:00:41","a..0:03:01","2.53"
"18","18","18","16","BEN DAOUD, HAMID","ESP",NA,NA,"M-SENIOR","17","00:14:30","00:28:52","00:43:21","00:57:38","01:00:41","01:00:41","a..0:03:02","2.53"
"19","19","19","21","SIMBASSA, ABBABIYA","USA",NA,NA,"M-SENIOR","18","00:14:28","00:28:52","00:43:09","00:57:31","01:00:41","01:00:43","a..0:03:03","2.53"
"20","20","20","19","KIBIWOTT, KELVIN","KEN",NA,NA,"M-SENIOR","19","00:14:14","00:28:47","00:43:09","00:57:42","01:00:52","01:00:53","a..0:03:13","2.53"
"21","21","21","30","BLANCO, JORGE","ESP",NA,"ASICS","M-SENIOR","20","00:14:44","00:29:32","00:44:12","00:58:51","01:02:03","01:02:03","a..0:04:23","2.56"
"22","22","22","32","Tesfu, Filmon","NLD",NA,"Sv sportlust","M-SENIOR","21","00:14:30","00:29:04","00:44:01","00:58:51","01:02:03","01:02:05","a..0:04:25","2.57"
"23","23","23","45","Gomes, Hélio","PRT",NA,NA,"M-M35","1","00:14:45","00:29:32","00:44:13","00:58:51","01:02:08","01:02:08","a..0:04:28","2.57"
"24","24","24","34","Boulvin, Dorian","BEL",NA,"Runners'lab Athletics Team","M-SENIOR","22","00:14:45","00:29:32","00:44:12","00:58:53","01:02:08","01:02:08","a..0:04:29","2.57"
"25","25","25","27","ROJO, YAGO","ESP",NA,"HOKA","M-SENIOR","23","00:14:45","00:29:32","00:44:12","00:59:00","01:02:19","01:02:19","a..0:04:39","2.57"
"26","26","26","28","Pinto, Rui","PRT",NA,"Sporting Clube De Portugal","M-SENIOR","24","00:14:47","00:29:32","00:44:17","00:59:11","01:02:24","01:02:24","a..0:04:45","2.57"
"27","27","27","35","GONZALEZ RIVERA, JORGE","ESP",NA,"CLINICA MENORCA CAUG","M-SENIOR","25","00:14:47","00:29:32","00:44:17","00:59:12","01:02:27","01:02:27","a..0:04:48","2.58"
"28","28","28","51","Bouchikhi, Lahsene","BEL",NA,NA,"M-SENIOR","26","00:14:35","00:29:32","00:44:13","00:59:11","01:02:27","01:02:29","a..0:04:48","2.58"
"29","29","29","42","GODEFROY, Alexis","FRA",NA,"BLAGNAC SC","M-SENIOR","27","00:14:47","00:29:32","00:44:17","00:59:11","01:02:29","01:02:29","a..0:04:49","2.58"
"30","30","30","22","GUERRA, JAVIER","ESP",NA,NA,"M-M35","2","00:14:45","00:29:32","00:44:17","00:59:11","01:02:31","01:02:31","a..0:04:51","2.58"
"31","31","31","41","Sanchez Gomez, Pablo","ESP",NA,"Vicky Foods  Athletics","M-SENIOR","28","00:14:47","00:29:48","00:44:41","00:59:42","01:02:50","01:02:52","a..0:05:11","2.59"
"32","32","32","29","Goddard, Ed","AUS",NA,"ASICS","M-SENIOR","29","00:14:45","00:29:32","00:44:38","00:59:42","01:02:52","01:02:52","a..0:05:13","2.59"
"33","33","33","37","Assorgia, Gianluca","NLD",NA,NA,"M-SENIOR","30","00:14:47","00:29:32","00:44:45","01:00:13","01:03:39","01:03:39","a..0:06:00","3.01"
"34","34","34","525","davies, Jonathan Stuart","GBR",NA,"HOKA","M-SENIOR","31","00:15:22","00:30:36","00:45:37","01:00:31","01:03:44","01:03:46","a..0:06:06","3.01"
"35","35","35","33","Lockley, Ollie","GBR",NA,"Leeds City AC","M-SENIOR","32","00:14:58","00:30:09","00:45:16","01:00:31","01:03:44","01:03:46","a..0:06:06","3.01"
"36","36","36","545","Bougnot, Igor","FRA",NA,"Entente Sud Lyonnais","M-SENIOR","33","00:15:12","00:30:36","00:45:37","01:00:31","01:03:46","01:03:48","a..0:06:08","3.01"
"37","37","37","561","El Mazoury, Ahmed","ITA",NA,"Recastello Radici Group","M-SENIOR","34","00:14:59","00:30:09","00:45:16","01:00:32","01:03:49","01:03:51","a..0:06:11","3.02"
"38","38","38","78","SICOT, MAEL","FRA",NA,"TEMPO RUN CLUB","M-SENIOR","35","00:14:59","00:30:09","00:45:16","01:00:43","01:03:58","01:03:58","a..0:06:19","3.02"
